"dataset","nrow","distribution","n_sims","q10","q25","q50","q75","q90"
"anzg_ammonia_fresh",10,"weibull",500,0.0401705954709729,0.0820956413170086,0.187286611767702,0.288170754358443,0.349855587881502
"anzg_ammonia_fresh",16,"gamma",500,0.000732974106538413,0.0152118187163333,0.110414186823478,0.266627849736148,0.353690903192529
"anzg_ammonia_fresh",16,"lgumbel",500,0.00862750684318666,0.0344741550689393,0.160549076661396,0.382238057039779,0.61704490801998
"anzg_ammonia_fresh",16,"llogis",500,0.085835291202769,0.12170217998854,0.177025986230937,0.267061453183915,0.346884875068766
"anzg_ammonia_fresh",16,"lnorm",500,0.0804316470411232,0.15088628889406,0.232763894190294,0.301572424317347,0.333118254282556
"anzg_ammonia_fresh",16,"lnorm_lnorm",500,0.00163099379986159,0.00247377967876235,0.00506768342103646,0.0165883504384984,0.0705610218222881
"anzg_ammonia_fresh",16,"weibull",500,0.00630652227572641,0.0287513398131649,0.119172390370463,0.272292726043012,0.363361506495473
"anzg_ammonia_fresh",26,"gamma",500,9.63769881309908e-07,0.00154413091430373,0.0317640600922376,0.191149793582154,0.354249285758399
"anzg_ammonia_fresh",26,"lgumbel",500,0.00186598444239017,0.0103892771076969,0.0802106232356752,0.328575418615817,0.581845154482823
"anzg_ammonia_fresh",26,"llogis",500,0.0656729645175429,0.121432203905885,0.206671448984553,0.35183956733285,0.513851174806698
"anzg_ammonia_fresh",26,"lnorm",500,0.0406883886635755,0.13222297647081,0.253306920421539,0.36286357377557,0.418591741752448
"anzg_ammonia_fresh",26,"lnorm_lnorm",500,0.00719404104332211,0.0115628934484911,0.0218809029852479,0.0616830267502015,0.192064370569818
"anzg_ammonia_fresh",26,"weibull",500,0.000160818240802646,0.00571761412865335,0.059943088426029,0.209685205837858,0.352363912493256
"anzg_bisphenol_a_fresh",5,"gamma",500,3.75456264716496e-16,3.07356807821789e-15,1.48969491573853e-14,4.45863304323084e-14,7.67799322952979e-14
"anzg_bisphenol_a_fresh",5,"lgumbel",500,5.50350729690914e-16,4.16852476065652e-15,1.97281340070014e-14,5.30537039178111e-14,7.85764099179759e-14
"anzg_bisphenol_a_fresh",5,"llogis",500,3.64394137689933e-16,3.45719772229461e-15,1.74638157876905e-14,4.72498259326347e-14,7.05243282533884e-14
"anzg_bisphenol_a_fresh",5,"lnorm",500,4.6155485764272e-16,4.28367240490925e-15,2.09701184194967e-14,5.35225708316181e-14,8.12823343244145e-14
"anzg_bisphenol_a_fresh",5,"lnorm_lnorm",500,0.999999999999647,0.999999999999752,0.999999999999891,0.999999999999979,0.999999999999998
"anzg_bisphenol_a_fresh",5,"weibull",500,4.12557131901967e-16,3.46953645000165e-15,1.71473773258676e-14,4.95721925746004e-14,7.95792464821885e-14
"anzg_bisphenol_a_fresh",6,"gamma",500,0.0519168167131644,0.0897088204522935,0.166342807365941,0.242322555530504,0.308841055794957
"anzg_bisphenol_a_fresh",6,"lgumbel",500,0.0786101021869752,0.132139040490952,0.220184336846581,0.338095613149475,0.443045889804662
"anzg_bisphenol_a_fresh",6,"llogis",500,0.135793161620825,0.156980908145729,0.178884227262875,0.204669910521075,0.228997555956744
"anzg_bisphenol_a_fresh",6,"lnorm",500,0.162036685698297,0.200351186563594,0.224155870400894,0.239937290090559,0.25173449612827
"anzg_bisphenol_a_fresh",6,"lnorm_lnorm",500,0,0,0,0,0
"anzg_bisphenol_a_fresh",6,"weibull",500,0.0865326014334523,0.130213897661509,0.187538401886408,0.242106225169327,0.291716797242894
"anzg_bisphenol_a_fresh",7,"gamma",500,0.0395689504707488,0.0716103093282291,0.149219733559397,0.243706431000662,0.315780481007817
"anzg_bisphenol_a_fresh",7,"lgumbel",500,0.0718865837397231,0.124606563372443,0.21744163547206,0.364918043268269,0.471981809761314
"anzg_bisphenol_a_fresh",7,"llogis",500,0.132209934542831,0.156875976076655,0.179072511917651,0.205230285714491,0.235243109715088
"anzg_bisphenol_a_fresh",7,"lnorm",500,0.162038267223043,0.200492296635228,0.229577040479766,0.250380314764103,0.263007238685839
"anzg_bisphenol_a_fresh",7,"lnorm_lnorm",500,6.40068502718887e-15,9.66129233138642e-15,2.08279488506877e-14,8.28273906647702e-14,5.04401865904339e-13
"anzg_bisphenol_a_fresh",7,"weibull",500,0.0767731969732863,0.116579160872958,0.182912291678615,0.249774897435343,0.297249858144734
"anzg_bisphenol_a_fresh",8,"gamma",500,0.0282042481860541,0.0566973336066062,0.135109185091384,0.237185697182631,0.323454073106795
"anzg_bisphenol_a_fresh",8,"lgumbel",500,0.0647170167317207,0.121115924253938,0.22064206967507,0.367094112821492,0.483672707580709
"anzg_bisphenol_a_fresh",8,"llogis",500,0.130495804026938,0.155987116501507,0.178336905753403,0.20809622631992,0.243060246576277
"anzg_bisphenol_a_fresh",8,"lnorm",500,0.156313725763984,0.20015919105232,0.237898359047043,0.259402927889501,0.272398220107108
"anzg_bisphenol_a_fresh",8,"lnorm_lnorm",500,1.68550280999856e-08,2.71159229930465e-08,6.071783791943e-08,2.20943780339078e-07,1.09887949167153e-06
"anzg_bisphenol_a_fresh",8,"weibull",500,0.0630936307923815,0.107806938868633,0.179249923387996,0.246112187214388,0.299523753155623
"anzg_bisphenol_a_fresh",10,"gamma",500,0.0145569775419125,0.040266876385472,0.113079576556749,0.216730233058066,0.33287599172629
"anzg_bisphenol_a_fresh",10,"lgumbel",500,0.0453899494284756,0.108023282750435,0.217896993379747,0.360836601586287,0.490551384995902
"anzg_bisphenol_a_fresh",10,"llogis",500,0.120920015559814,0.148014032503052,0.181198652717222,0.221472041074459,0.274189481419866
"anzg_bisphenol_a_fresh",10,"lnorm",500,0.147280216748528,0.207574850117785,0.254903407618267,0.284026334905491,0.300898436625989
"anzg_bisphenol_a_fresh",10,"lnorm_lnorm",500,2.42702255710382e-05,3.68171871551383e-05,8.80521179540156e-05,0.000320079492990789,0.00146415512040569
"anzg_bisphenol_a_fresh",10,"weibull",500,0.052943933653033,0.09606430295255,0.167465826419428,0.247877091978422,0.313433548326778
"anzg_bisphenol_a_fresh",16,"gamma",500,0.00200656960719231,0.00938762233328772,0.0446300018381894,0.149399426565674,0.296111500941526
"anzg_bisphenol_a_fresh",16,"lgumbel",500,0.0215071382398185,0.0747821371180541,0.184478359227739,0.355915303117117,0.534712952461422
