"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"llogis",5,0.05,2500,5,0.5292,1.2959496988531,0.0901568405611631,3.79419612490736,13.0628534413754
"llogis",5,0.1,2500,5,0.6292,0.523700963616145,-0.208453446710596,1.9336644039832,7.56866848477125
"llogis",5,0.2,2500,5,0.7576,0.0297780771468166,-0.435553760294853,0.827300094198894,4.56932556325161
"llogis",6,0.01,2500,5,0.876,0.523913316479609,-0.503080266946284,3.22149021636254,24.2189124728502
"llogis",6,0.05,2500,5,0.8716,0.488100729374316,-0.27457745242146,2.04735143524431,9.32860343240315
"llogis",6,0.1,2500,5,0.8672,0.324618468567698,-0.267507667843637,1.40070011276723,6.26073623243927
"llogis",6,0.2,2500,5,0.87,0.160684772105533,-0.300748003501531,0.906768377124813,4.21292425478268
"llogis",7,0.01,2500,5,0.8968,0.423361735282855,-0.53236028791355,2.63084806111674,20.261220213733
"llogis",7,0.05,2500,5,0.89,0.413507621505647,-0.30255565528856,1.6982247712661,8.12699421254046
"llogis",7,0.1,2500,5,0.8896,0.270733085533581,-0.299824025648245,1.20006103869633,5.55823988462944
"llogis",7,0.2,2500,5,0.882,0.136543999395823,-0.310456889303262,0.809667400168035,3.78286975970064
"llogis",8,0.01,2500,5,0.912,0.323138276915073,-0.544755246833968,2.16843076748785,16.8964337164077
"llogis",8,0.05,2500,5,0.9,0.339086422352111,-0.30801669584742,1.49895041894152,6.87619051030762
"llogis",8,0.1,2500,5,0.8952,0.194896909442377,-0.291516477855652,1.05274730067901,4.85641730761353
"llogis",8,0.2,2500,5,0.8912,0.0927361906243732,-0.298530951997568,0.700684275038588,3.43729981074859
"llogis",10,0.01,2500,5,0.9336,0.257614499201587,-0.537438759257924,1.88454057111805,13.0016047035418
"llogis",10,0.05,2500,5,0.9248,0.262560497041034,-0.315595543786239,1.21142421282053,5.54652987634675
"llogis",10,0.1,2500,5,0.9168,0.146507815369955,-0.299285261260996,0.826559006477706,3.94192157343793
"llogis",10,0.2,2500,5,0.902,0.0468654673070715,-0.296273185413452,0.555172371665487,2.89626295108102
"llogis",16,0.01,2500,5,0.94,0.21095969461763,-0.50141488179029,1.60064213460278,8.26857344592514
"llogis",16,0.05,2500,5,0.9304,0.137893782633954,-0.3311350907565,0.875763026275947,3.60853246187503
"llogis",16,0.1,2500,5,0.9248,0.0501450256887063,-0.306210207869119,0.556851992905925,2.65520861416323
"llogis",16,0.2,2500,5,0.9216,-0.0156159844534414,-0.274881351717875,0.355843243364334,2.05476781521236
"llogis",26,0.01,2500,5,0.9236,0.19448617681013,-0.408223760700319,1.40061753951059,5.72382224507433
"llogis",26,0.05,2500,5,0.9216,0.0911616455556833,-0.303808451972962,0.63089556884549,2.54988520855623
"llogis",26,0.1,2500,5,0.926,0.00758069303158205,-0.284434842240713,0.387393330947738,1.9018806694747
"llogis",26,0.2,2500,5,0.932,-0.0226179948376087,-0.24648052044216,0.250419354681331,1.50091131461167
"lnorm",5,0.01,5000,10,0.5462,3.45663953150679,0.529909241448713,12.7561326205015,58.5153711525515
"lnorm",5,0.05,5000,10,0.5776,1.28159314030365,-0.00600899855076683,4.56137967779472,20.0106777297953
"lnorm",5,0.1,5000,10,0.6432,0.579450833429512,-0.24604476226521,2.41132559678147,11.5873111462089
"lnorm",5,0.2,5000,10,0.7726,0.071554221376244,-0.468074245925702,1.13873240439986,6.579276044685
"lnorm",6,0.01,5000,10,0.936,-0.197096460400789,-0.771473858964007,1.43915944402215,27.8502064481938
"lnorm",6,0.05,5000,10,0.9044,0.397996167224775,-0.369122203087511,2.06590799408474,13.4742414501186
"lnorm",6,0.1,5000,10,0.8868,0.3717432445703,-0.291035576822401,1.77977037537458,9.44293383500823
"lnorm",6,0.2,5000,10,0.87,0.254632821761685,-0.283789259214561,1.30690957139455,6.30705858336534
"lnorm",7,0.01,5000,10,0.9508,-0.265439938774541,-0.779731555386854,1.13712208410543,21.7632505119758
"lnorm",7,0.05,5000,10,0.9244,0.307085680221504,-0.383773661811954,1.7172973892607,11.1599683749475
"lnorm",7,0.1,5000,10,0.905,0.315489296015614,-0.309664826170254,1.48207226526713,8.1578192047305
"lnorm",7,0.2,5000,10,0.8856,0.229012080004848,-0.284465311781025,1.10626209283622,5.54944948972031
"lnorm",8,0.01,5000,10,0.9652,-0.307027636713647,-0.77953842686957,0.933548107893087,17.7012513960581
