"dataset","nrow","distribution","mean_weight","sd_weight","n_sims"
"anzg_bisphenol_a_marine",10,"llogis",0.200737849235429,0.0787559405111963,500
"anzg_bisphenol_a_marine",10,"lnorm",0.216705945167703,0.0768185442271559,500
"anzg_bisphenol_a_marine",10,"lnorm_lnorm",0.0018115903687725,0.0175471683097741,500
"anzg_bisphenol_a_marine",10,"weibull",0.186010408927904,0.115467197272455,500
"anzg_bisphenol_a_marine",16,"gamma",0.105348801885595,0.153879895863872,500
"anzg_bisphenol_a_marine",16,"lgumbel",0.224037621516439,0.229876515152303,500
"anzg_bisphenol_a_marine",16,"llogis",0.238378113260462,0.12555298276041,500
"anzg_bisphenol_a_marine",16,"lnorm",0.237629256636226,0.110921589677261,500
"anzg_bisphenol_a_marine",16,"lnorm_lnorm",0.0304483081968601,0.101957808560637,500
"anzg_bisphenol_a_marine",16,"weibull",0.164157898504418,0.140037788860864,500
"anzg_bisphenol_a_marine",26,"gamma",0.0519028653653052,0.121194795145145,500
"anzg_bisphenol_a_marine",26,"lgumbel",0.166164108426126,0.219861660810418,500
"anzg_bisphenol_a_marine",26,"llogis",0.302609019210993,0.180568440436072,500
"anzg_bisphenol_a_marine",26,"lnorm",0.263030862235455,0.152022339511576,500
"anzg_bisphenol_a_marine",26,"lnorm_lnorm",0.0808355579079601,0.154825534421561,500
"anzg_bisphenol_a_marine",26,"weibull",0.135457586854161,0.162311423913368,500
"anzg_boron_fresh",5,"gamma",0.00680010820539914,0.0407432758646457,500
"anzg_boron_fresh",5,"lgumbel",0.0116579266192815,0.0732798035829949,500
"anzg_boron_fresh",5,"llogis",0.00588250510083693,0.029998449610315,500
"anzg_boron_fresh",5,"lnorm",0.00586971081600714,0.0309686395161221,500
"anzg_boron_fresh",5,"lnorm_lnorm",0.961999999999841,0.191387717779961,500
"anzg_boron_fresh",5,"weibull",0.00778974925863419,0.0497370280290411,500
"anzg_boron_fresh",6,"gamma",0.195119197442425,0.0817126264526877,500
"anzg_boron_fresh",6,"lgumbel",0.224435803630353,0.140807011959696,500
