"name","step","seconds","bytes"
"sample_step_42_anzg_metolachlor_fresh_135_TRUE","sample",0.019,12769
"sample_step_42_anzg_glyphosate_fresh_261_TRUE","sample",0.035,12764
"sample_step_42_anzg_metolachlor_fresh_400_TRUE","sample",0.024,11734
"sample_step_42_anzg_ametryn_fresh_299_TRUE","sample",0.021,11297
"sample_step_42_ccme_endosulfan_15_TRUE","sample",0.018,12729
"sample_step_42_anzg_mcpa_fresh_117_TRUE","sample",0.021,11810
"sample_step_42_anzg_nitrate_soft_fresh_275_TRUE","sample",0.031,11847
"sample_step_42_anzg_chlorine_marine_376_TRUE","sample",0.024,12758
"sample_step_42_ccme_chloride_326_TRUE","sample",0.024,11805
"sample_step_42_anzg_mcpa_fresh_495_TRUE","sample",0.018,11014
"sample_step_42_anzg_bisphenol_a_marine_309_TRUE","sample",0.019,11542
"sample_step_42_ccme_boron_360_TRUE","sample",0.024,11318
"sample_step_42_anzg_fipronil_fresh_79_TRUE","sample",0.021,11434
"sample_step_42_anzg_diuron_marine_407_TRUE","sample",0.022,12749
"sample_step_42_anzg_metolachlor_fresh_235_TRUE","sample",0.018,11374
"sample_step_42_anzg_bisphenol_a_fresh_51_TRUE","sample",0.019,11235
"sample_step_42_ccme_silver_9_TRUE","sample",0.022,11518
"sample_step_42_anzg_metolachlor_fresh_100_TRUE","sample",0.017,11486
"sample_step_42_anzg_glyphosate_fresh_161_TRUE","sample",0.023,12764
"sample_step_42_anzg_iron_marine_61_TRUE","sample",0.018,12094
"sample_step_42_anzg_mcpa_fresh_217_TRUE","sample",0.026,11360
"sample_step_42_anzg_nitrate_soft_fresh_175_TRUE","sample",0.022,12456
"sample_step_42_anzg_glyphosate_fresh_276_TRUE","sample",0.021,12753
"sample_step_42_ccme_chloride_426_TRUE","sample",0.022,11610
"sample_step_42_anzg_bisphenol_a_marine_409_TRUE","sample",0.02,12774
"sample_step_42_anzg_chlorine_marine_476_TRUE","sample",0.018,11081
"sample_step_42_anzg_diuron_marine_307_TRUE","sample",0.023,12749
"sample_step_42_anzg_nitrate_hard_fresh_59_TRUE","sample",0.035,12129
"sample_step_42_anzg_chromium_III_fresh_264_TRUE","sample",0.026,12775
"sample_step_42_ccme_boron_237_TRUE","sample",0.018,11339
"sample_step_42_anzg_nickel_marine_98_TRUE","sample",0.02,12551
"sample_step_42_anzg_boron_fresh_36_TRUE","sample",0.032,11651
"sample_step_42_anzg_diuron_marine_444_TRUE","sample",0.023,12749
"sample_step_42_ccme_uranium_72_TRUE","sample",0.02,12651
"sample_step_42_anzg_glyphosate_fresh_461_TRUE","sample",0.018,11469
"sample_step_42_anzg_metolachlor_fresh_200_TRUE","sample",0.018,11658
"sample_step_42_anzg_mcpa_fresh_317_TRUE","sample",0.032,12656
"sample_step_42_anzg_bisphenol_a_fresh_96_TRUE","sample",0.026,11286
"sample_step_42_ccme_chloride_157_TRUE","sample",0.02,12054
"sample_step_42_anzg_glyphosate_fresh_176_TRUE","sample",0.025,12760
"sample_step_42_anzg_bisphenol_a_marine_194_TRUE","sample",0.019,11406
"sample_step_42_anzg_iron_marine_20_TRUE","sample",0.034,12734
"sample_step_42_anzg_diuron_marine_207_TRUE","sample",0.033,12595
"sample_step_42_anzg_chromium_III_fresh_164_TRUE","sample",0.02,11299
"sample_step_42_ccme_boron_137_TRUE","sample",0.02,12678
"sample_step_42_anzg_diuron_marine_344_TRUE","sample",0.019,11374
"sample_step_42_anzg_diuron_fresh_239_TRUE","sample",0.032,12318
"sample_step_42_ccme_endosulfan_97_TRUE","sample",0.034,11529
"sample_step_42_anzg_dioxins_fresh_26_TRUE","sample",0.024,11194
"sample_step_42_anzg_mcpa_fresh_417_TRUE","sample",0.019,12734
"sample_step_42_anzg_glyphosate_fresh_361_TRUE","sample",0.026,11078
"sample_step_42_anzg_diuron_marine_481_TRUE","sample",0.033,12431
"sample_step_42_anzg_ammonia_fresh_95_TRUE","sample",0.031,11048
"sample_step_42_anzg_nickel_marine_59_TRUE","sample",0.021,11845
"sample_step_42_anzg_glyphosate_fresh_476_TRUE","sample",0.019,12760
"sample_step_42_anzg_bisphenol_a_marine_294_TRUE","sample",0.021,11523
"sample_step_42_ccme_chloride_257_TRUE","sample",0.023,12670
"sample_step_42_anzg_diuron_marine_107_TRUE","sample",0.018,12223
"sample_step_42_anzg_dioxins_fresh_5_TRUE","sample",0.032,12739
"sample_step_42_anzg_chromium_III_fresh_464_TRUE","sample",0.021,11894
"sample_step_42_anzg_aluminium_marine_219_TRUE","sample",0.025,11740
"sample_step_42_ccme_boron_437_TRUE","sample",0.029,11378
"sample_step_42_anzg_nitrate_soft_fresh_429_TRUE","sample",0.018,11755
"sample_step_42_anzg_diuron_marine_244_TRUE","sample",0.023,12749
"sample_step_42_anzg_diuron_fresh_139_TRUE","sample",0.034,11378
"sample_step_42_anzg_diuron_marine_381_TRUE","sample",0.022,12746
"sample_step_42_anzg_glyphosate_fresh_376_TRUE","sample",0.017,12761
"sample_step_42_ccme_chloride_357_TRUE","sample",0.022,12724
"sample_step_42_anzg_bisphenol_a_marine_394_TRUE","sample",0.021,11591
"sample_step_42_anzg_paraquat_fresh_170_TRUE","sample",0.039,11477
"sample_step_42_anzg_chromium_III_fresh_364_TRUE","sample",0.019,11998
"sample_step_42_anzg_nitrate_moderate_fresh_410_TRUE","sample",0.023,11775
"sample_step_42_anzg_sulfometuron_methyl_fresh_196_TRUE","sample",0.034,12811
"sample_step_42_anzg_ammonia_fresh_54_TRUE","sample",0.022,11715
"sample_step_42_anzg_nickel_marine_16_TRUE","sample",0.017,11218
"sample_step_42_ccme_boron_337_TRUE","sample",0.022,11331
"sample_step_42_anzg_aluminium_marine_119_TRUE","sample",0.019,11251
"sample_step_42_anzg_nitrate_soft_fresh_329_TRUE","sample",0.037,11811
"sample_step_42_anzg_diuron_marine_144_TRUE","sample",0.019,12749
